-10,"Many people think taxes will have to rise in the next parliament to cut Britain's budget deficit. If they do, any increases should disproportionately be paid by higher earners.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Taxes"
-11,"The British government interferes too much with business.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Business"
-12,"Government should tackle climate change aggressively even if it means energy bills go up.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Climate change"
-13,"It would be a big problem if Britain became more economically unequal over the next 5 years.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Equality"
-14,"Despite the recession, Britain should increase spending on public sector services.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Public spending"
-15,"People should provide for their own retirement, and not demand the state to help them do so.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Pensions"
-16,"Immigration levels are too high.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Immigration"
-17,"There are too many CCTV cameras in Britain.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","CCTV cameras"
-18,"A married, heterosexual couple provide the best environment in which to raise a family.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Marriage"
-19,"In general, politicians in Britain are honest.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Political honesty"
-20,"The arts in Britain should pay for themselves, and not rely on Government subsidy.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Arts funding"
-21,"The new British government should begin negotiations to leave the European Union.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Europe"
-22,"Even if Iran develops a nuclear weapon, Britain should not support any military action against Iran.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Iran"
-23,"British troops should stay in Afghanistan as long as they are needed.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Afghanistan"
-24,"Britain spends too much money on foreign aid.",,"National","2010-04-01T15:59:00","2010-04-01T15:59:00","Foreign aid"
